QuestionId,QuestionText,MC_Answer,StudentExplanation,Category
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),it is also in its simplest form because you can no longer simplify it.,False_Neither
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),BECAUSE 3 OUT OUT OF 8 ARE SHAED,False_Neither
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because you count how many there are and then you find out who isn't shaded.,False_Neither
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),i looked at the shapes that are not shaded and counted the other triangles and there were 9.,False_Neither
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),I counted the amount of triangles and then worked out how much was not shaded.,False_Neither
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{6}{2} \),"i think it's because we've been learning about these things, amd i have an answer.",False_Neither
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{1}{3} \),i'm working it out with the bus stop.,False_Neither
31774,Calculate \( \frac{1}{2} \div 6 \),\( 3 \),"i'm sure it's b, but i can't remember how to explain it.",False_Neither
31774,Calculate \( \frac{1}{2} \div 6 \),\( 3 \),If we flip it over we would get 3 if we keep changing.,False_Neither
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{1}{3} \),"i think this because,1/2divided by 6=6/3 divide both by 3=3/1,but switch it around would equal 1/3.",False_Neither
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),i found half of it and then halfled it again and finally i had this answer.,False_Neither
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),"120 divided by 3 is 30. to get it out of 5 i doubled it to get 2 more, which is 60.",False_Neither
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),"i converted 3/5 and then i did it as a percent, which was 60%. then i took 60 off of 120 which gave me 60.",False_Neither
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),Because you can divide 60 by 5 evenly 60 divide by 5 = 12,False_Neither
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 48 \),I think this because there are more red counters but just andd it will be under half bu just so I went to the closest one.,False_Neither
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),because it wouldd be 18 so you divide by 3.,False_Neither
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),The numerator and denominator must be the same.,False_Neither
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 3 \),"it is because well 10+5=15 and 3+5. therefore, the answer is 7.",False_Neither
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),Thr denominator does not have to be the same.,False_Neither
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),Because they are the same fraction.,False_Neither
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),i just used my comb sens,False_Neither
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),i think it is this not sure,False_Neither
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 48 \),24 divided by 12 equals 12. The answer will be 12.,False_Neither
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),"24 is also thr same number as 24, so it has to be equal.",False_Neither
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),because nothing else would equal 24 with no sum,False_Neither
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{2}{15} \),5 turned into 5 / 1 then i multiplied bothh together.,False_Neither
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),"when you divide the number on the bottom by 5, it will be five times larger than the numbers on top.",False_Neither
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),im not too sure so i went with 5 times 2,False_Neither
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{2}{15} \),i don’t know how to explane,False_Neither
32833,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \),reason why i think it is because if you have five times it by five so 23 would be it would be  5/13suppose you’re busy just times in it right number,False_Neither
32835,Which number is the greatest?,\( 6.079 \),"i think thus is 6.07 because if you look at the outhrs it's 6.0001 that is the lowest. Also, 6 by itself and 6.2 are also very small",False_Neither
32835,Which number is the greatest?,\( 6.079 \),because the 100ths and the 10ths are larger,False_Neither
32835,Which number is the greatest?,\( 6.079 \),"I think c because if you look at the 100ths it is 9. And when you go to see the 10th's, it'll be 7.",False_Neither
32835,Which number is the greatest?,\( 6.0001 \),i think d because it has more thousandths than any of the other numbers.,False_Neither
32835,Which number is the greatest?,\( 6 \),because it is bigger then all the decimal numbers,False_Neither
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),because theres only 3/8 and itss almost half,False_Neither
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),divide my the bottom and times by the top,False_Neither
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),"I don't know how to explainn that,",False_Neither
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),i think this because you divide by the bottom and times by the top,False_Neither
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 3 \),i think because i use the bar method and that what i got and i divided 24 by 8,False_Neither
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{8} \),I dont know because it is I guess I do mot know.,False_Neither
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \),i know think this because you need to change the denominators are different so you change the denominators to 15 and you do 2x3=6 and 1x5=5 and then they are your numaratores,False_Neither
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{8} \),add 1 and the 2 first then do the rest.,False_Neither
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{15} \),i think this because you have to multiply the denominator and add the nominator to add fractions.,False_Neither
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{15} \),because you find the common denominator,False_Neither
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),i did 2 - 1 because i don’t need to find a common denominator because the denominators are the same,False_Neither
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{1}{3}+\frac{2}{3} \),i think this because two thirds is double one third,False_Neither
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),i think this because if you did the sum you got the answer,False_Neither
