QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,my thoughts,my categorization
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),it is also in its simplest form because you can no longer simplify it.,False_Neither,"student explanation is incorrect, it is not in simplest form since 9 is a multiple of 3",
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),BECAUSE 3 OUT OUT OF 8 ARE SHAED,False_Neither,conceptual error of what simplest form is,
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because you count how many there are and then you find out who isn't shaded.,False_Neither,conceptual error of what simplest form is,
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),i looked at the shapes that are not shaded and counted the other triangles and there were 9.,False_Neither,conceptual error of what simplest form is,
31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),I counted the amount of triangles and then worked out how much was not shaded.,False_Neither,conceptual error of what simplest form is,
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{6}{2} \),"i think it's because we've been learning about these things, amd i have an answer.",False_Neither,n/a explanation,
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{1}{3} \),i'm working it out with the bus stop.,False_Neither,n/a explanation,
31774,Calculate \( \frac{1}{2} \div 6 \),\( 3 \),"i'm sure it's b, but i can't remember how to explain it.",False_Neither,n/a explanation,
31774,Calculate \( \frac{1}{2} \div 6 \),\( 3 \),If we flip it over we would get 3 if we keep changing.,False_Neither,"flipped too many things when trying to multiply by the reciprocal. when dividing a fraction by a whole number or another fraction, it is the same as multiplying the dividend by the reciprocal of the divisor",
31774,Calculate \( \frac{1}{2} \div 6 \),\( \frac{1}{3} \),"i think this because,1/2divided by 6=6/3 divide both by 3=3/1,but switch it around would equal 1/3.",False_Neither,"one half divided by 6 is not the same as 6 divided in half, misconception in commutative property",
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),i found half of it and then halfled it again and finally i had this answer.,False_Neither,"half of 120 is 60, half of half would be a quarter of 120 which is 30. 1/4 is not quite 1/5",
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),"120 divided by 3 is 30. to get it out of 5 i doubled it to get 2 more, which is 60.",False_Neither,"should have multipled by 3 then divided by 5, procedural error",
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),"i converted 3/5 and then i did it as a percent, which was 60%. then i took 60 off of 120 which gave me 60.",False_Neither,conceptual error - 60% of 120 is not 60 (that's actually 50%),
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 60 \),Because you can divide 60 by 5 evenly 60 divide by 5 = 12,False_Neither,a true statement that arises from simplifying 3x120 then divide by 5. ,
31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 48 \),I think this because there are more red counters but just andd it will be under half bu just so I went to the closest one.,False_Neither,"Correct in saying there are more red counters, but incorrect in stating that 3/5 is less than 1/2, but did correctly identify that 48 is less than half of 120",
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),because it wouldd be 18 so you divide by 3.,False_Neither,noticed that 9 and 15 are both divisible by 3,
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),The numerator and denominator must be the same.,False_Neither,they must be the same to add and subtract (simply),
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 3 \),"it is because well 10+5=15 and 3+5. therefore, the answer is 7.",False_Neither,conceptual error in how to compare fractions and adding (3+5 is not 7),
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),Thr denominator does not have to be the same.,False_Neither,"a true statement, but does not really apply here",
31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 9 \),Because they are the same fraction.,False_Neither,conceptual error - a 10th is not the same size as a 15th in terms of fractions,
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),i just used my comb sens,False_Neither,Conceptual error - replacing the letter y with a literal 4 to get 24=24,
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),i think it is this not sure,False_Neither,Conceptual error - replacing the letter y with a literal 4 to get 24=24,
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 48 \),24 divided by 12 equals 12. The answer will be 12.,False_Neither,"24 minus 12 is 12, but 24 divided by 2 is 12.",
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),"24 is also thr same number as 24, so it has to be equal.",False_Neither,Conceptual error - replacing the letter y with a literal 4 to get 24=24,
32829,\( 2 y=24 \) What is the value of \( y \) ?,\( 4 \),because nothing else would equal 24 with no sum,False_Neither,Conceptual error - replacing the letter y with a literal 4 to get 24=24,
