row_id,QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,Misconception,ai_proposed_sublabel,ai_cp_call,ai_rationale,your_review,your_cp_call,your_correction,your_notes
2912,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),3 of the 9 triangles aren't coloured in so that equals 3/9,False_Misconception,Incomplete,Incomplete — sub-type unclear,A,Explanation does not contain enough signal to assign a sub-type. Review needed: check whether the question included a direction (e.g. 'simplest form') and whether the student's explanation references or ignores it.,,,,
8222,31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 24 \),to find the answer you have to divide 120 by 5 and my answer was 24 so there are 24 red counters.,False_Misconception,Incomplete,Incomplete — Incomplete-procedure,A,Student began a procedure but did not complete it. Ambiguous: may be a procedural gap (doesn't know the next step) or conceptual (doesn't know a next step is needed).,,,,
22895,33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 3 \),I did 24 divided by 8 and the answer is 3 because you always divide the big number by the denominator,False_Misconception,Incomplete,Incomplete — Incomplete-procedure,A,Student began a procedure but did not complete it. Ambiguous: may be a procedural gap (doesn't know the next step) or conceptual (doesn't know a next step is needed).,,,,
3647,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),I tink this because there are 9 triangles inside the triangle and3of them are white.,False_Misconception,Incomplete,Incomplete — sub-type unclear,A,Explanation does not contain enough signal to assign a sub-type. Review needed: check whether the question included a direction (e.g. 'simplest form') and whether the student's explanation references or ignores it.,,,,
3933,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),"There aree 9 triangles total, 3 of them are not shaded. 3 / 9.",False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
2910,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),3 not shaded and the total is 9,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
23081,33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),24 dividedd by 8 = 3,False_Misconception,Incomplete,Incomplete — Incomplete-procedure,A,Student began a procedure but did not complete it. Ambiguous: may be a procedural gap (doesn't know the next step) or conceptual (doesn't know a next step is needed).,,,,
3060,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because 3 out of 9 aren't shaded.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3754,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Then you need to see how many that are not shaded. It equals 3/9.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4417,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),i think this answer because there is 9 squares but three are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3986,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Three ninths is not shaded on this shape I counted how many were In total and I got nine then I counted how many were not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4352,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),i know this because 3 triangles are not shadedd in and there are 9 triangle.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4798,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),there is 9 triangle and 3 are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4135,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),because there are 9 shapes all together and 3 aren't shaded so it would be 3-9ths.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4242,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),because three is not shaded and the total is 9 so it is 3 over 9,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3738,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),The answer to this question is: 3/9 because there is 9 shapes altogether and 3 that isn't,False_Misconception,Incomplete,Incomplete — sub-type unclear,A,Explanation does not contain enough signal to assign a sub-type. Review needed: check whether the question included a direction (e.g. 'simplest form') and whether the student's explanation references or ignores it.,,,,
4062,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),because 6/9 is shaded so there aree 3/9 left,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3101,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because it is out of nine and three are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3437,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),I think d because there are 9 triangles altogether and 3 of those triangles  aren’t shaded.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4571,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),since you could see that the white parts are three of them that are not shaded and since that there are 9 in total that would have to be the denominator so it is 3/9.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4577,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),the answer is 3/9 because the whole shape has nine triangles and three of them are not shaded.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3201,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because there is 3 not shaded so that is the 3rd then all together there is 9 triangles so that would be 3/9,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4320,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),i counted the non-shaded and shaded so it becomes 9ths count the non-shaded triangles agains so its 3 9ths,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3019,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),As 3 parts of the 9 are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
2932,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),3 out of 9 are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3791,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),There are 9 pieces altogether and three of them aren't shaded.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3801,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),There are 9 shapes all together and 3 aren’t shaded.,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
4021,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),because 3 are nit shaded of 9 triangles,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3234,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),Because there's 9 triangles and there's 3 not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
3705,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),It's out of 9 triangles and you can see that 3 are not shaded,False_Misconception,Incomplete,Incomplete — Incomplete-direction,A,"Student explains only the identification step (counting, finding the fraction) with no reference to simplification, despite the question asking for simplest form. May have missed the instruction rather than lacking the skill — ambiguous between C and P without further probing.",,,,
